common_name,botanical_name,plant_url
Mock Orange,Philadelphus lewisii,//legacy.calscape.org/qrcodes/Philadelphus-lewisii(192)
Sulphur Buckwheat,Eriogonum umbellatum,//legacy.calscape.org/qrcodes/Eriogonum-umbellatum(192)
Desert Ceanothus,Ceanothus greggii,//legacy.calscape.org/qrcodes/Ceanothus-greggii(192)
Box Elder,Acer negundo,//legacy.calscape.org/qrcodes/Acer-negundo(192)
Giant Coreopsis,Leptosyne gigantea,//legacy.calscape.org/qrcodes/Leptosyne-gigantea(192)
Point Reyes Ceanothus,Ceanothus gloriosus,//legacy.calscape.org/qrcodes/Ceanothus-gloriosus(192)
Sand Dune Sedge,Carex pansa,//legacy.calscape.org/qrcodes/Carex-pansa(192)
Catalina Currant,Ribes viburnifolium,//legacy.calscape.org/qrcodes/Ribes-viburnifolium(192)
Bristly Matilija Poppy,Romneya trichocalyx,//legacy.calscape.org/qrcodes/Romneya-trichocalyx(192)
Del Mar Manzanita,Arctostaphylos glandulosa ssp. crassifolia,//legacy.calscape.org/qrcodes/Arctostaphylos-glandulosa-ssp.-crassifolia(192)
Thickleaf Yerba Santa,Eriodictyon crassifolium,//legacy.calscape.org/qrcodes/Eriodictyon-crassifolium(192)
California Copperleaf,Acalypha californica,//legacy.calscape.org/qrcodes/Acalypha-californica(192)
California Buckwheat,Eriogonum fasciculatum,//legacy.calscape.org/qrcodes/Eriogonum-fasciculatum(192)
Hollyleaf Redberry,Rhamnus ilicifolia,//legacy.calscape.org/qrcodes/Rhamnus-ilicifolia(192)
Valley Oak,Quercus lobata,//legacy.calscape.org/qrcodes/Quercus-lobata(192)
Bladderpod,Peritoma arborea,//legacy.calscape.org/qrcodes/Peritoma-arborea(192)
White Alder,Alnus rhombifolia,//legacy.calscape.org/qrcodes/Alnus-rhombifolia(192)
California Goldenrod,Solidago velutina ssp. californica,//legacy.calscape.org/qrcodes/Solidago-velutina-ssp.-californica(192)
Fuchsiaflower Gooseberry,Ribes speciosum,//legacy.calscape.org/qrcodes/Ribes-speciosum(192)
California Grape,Vitis californica,//legacy.calscape.org/qrcodes/Vitis-californica(192)
Pacific Madrone,Arbutus menziesii,//legacy.calscape.org/qrcodes/Arbutus-menziesii(192)
Yerba Mansa,Anemopsis californica,//legacy.calscape.org/qrcodes/Anemopsis-californica(192)
Seaside Daisy,Erigeron glaucus,//legacy.calscape.org/qrcodes/Erigeron-glaucus(192)
Cliff Maids,Lewisia cotyledon,//legacy.calscape.org/qrcodes/Lewisia-cotyledon(192)
Climbing Penstemon,Keckiella cordifolia,//legacy.calscape.org/qrcodes/Keckiella-cordifolia(192)
Checker Bloom,Sidalcea malviflora,//legacy.calscape.org/qrcodes/Sidalcea-malviflora(192)
Stream Orchid,Epipactis gigantea,//legacy.calscape.org/qrcodes/Epipactis-gigantea(192)
Palmer's Indian Mallow,Abutilon palmeri,//legacy.calscape.org/qrcodes/Abutilon-palmeri(192)
Yellow Bush Penstemon,Keckiella antirrhinoides,//legacy.calscape.org/qrcodes/Keckiella-antirrhinoides(192)
Golden Currant,Ribes aureum var. gracillimum,//legacy.calscape.org/qrcodes/Ribes-aureum-var.-gracillimum(192)
Bush Monkey Flower,Diplacus aurantiacus,//legacy.calscape.org/qrcodes/Diplacus-aurantiacus(192)
Desert Globemallow,Sphaeralcea ambigua,//legacy.calscape.org/qrcodes/Sphaeralcea-ambigua(192)
Scrub Oak,Quercus berberidifolia,//legacy.calscape.org/qrcodes/Quercus-berberidifolia(192)
Chaparral Yucca,Hesperoyucca whipplei,//legacy.calscape.org/qrcodes/Hesperoyucca-whipplei(192)
White Flowering Currant,Ribes indecorum,//legacy.calscape.org/qrcodes/Ribes-indecorum(192)
Curl Leaf Mountain Mahogany,Cercocarpus ledifolius,//legacy.calscape.org/qrcodes/Cercocarpus-ledifolius(192)
Buck Brush,Ceanothus cuneatus,//legacy.calscape.org/qrcodes/Ceanothus-cuneatus(192)
Eastwood Manzanita,Arctostaphylos glandulosa ssp. glandulosa,//legacy.calscape.org/qrcodes/Arctostaphylos-glandulosa-ssp.-glandulosa(192)
Spice Bush,Calycanthus occidentalis,//legacy.calscape.org/qrcodes/Calycanthus-occidentalis(192)
Valley Sedge,Carex barbarae,//legacy.calscape.org/qrcodes/Carex-barbarae(192)
Red-flowered Buckwheat,Eriogonum grande var. rubescens,//legacy.calscape.org/qrcodes/Eriogonum-grande-var.-rubescens(192)
Red Osier Dogwood,Cornus sericea,//legacy.calscape.org/qrcodes/Cornus-sericea(192)
Nuttall's Scrub Oak,Quercus dumosa,//legacy.calscape.org/qrcodes/Quercus-dumosa(192)
Desertbells,Phacelia campanularia,//legacy.calscape.org/qrcodes/Phacelia-campanularia(192)
Pinemat,Ceanothus prostratus,//legacy.calscape.org/qrcodes/Ceanothus-prostratus(192)
Jojoba,Simmondsia chinensis,//legacy.calscape.org/qrcodes/Simmondsia-chinensis(192)
Monterey Pine,Pinus radiata,//legacy.calscape.org/qrcodes/Pinus-radiata(192)
Fingertips,Dudleya edulis,//legacy.calscape.org/qrcodes/Dudleya-edulis(192)
Mulefat,Baccharis salicifolia,//legacy.calscape.org/qrcodes/Baccharis-salicifolia(192)
Fairyduster,Calliandra eriophylla,//legacy.calscape.org/qrcodes/Calliandra-eriophylla(192)
Few-rayed Bushmallow,Malacothamnus densiflorus,//legacy.calscape.org/qrcodes/Malacothamnus-densiflorus(192)
Nipomo Mesa Ceanothus,Ceanothus impressus var. nipomensis,//legacy.calscape.org/qrcodes/Ceanothus-impressus-var.-nipomensis(192)
Malva Rosa,Malva assurgentiflora,//legacy.calscape.org/qrcodes/Malva-assurgentiflora(192)
Bush Poppy,Dendromecon rigida,//legacy.calscape.org/qrcodes/Dendromecon-rigida(192)
Chuparosa,Justicia californica,//legacy.calscape.org/qrcodes/Justicia-californica(192)
Foothill Pine,Pinus sabiniana,//legacy.calscape.org/qrcodes/Pinus-sabiniana(192)
San Diego Sedge,Carex spissa,//legacy.calscape.org/qrcodes/Carex-spissa(192)
Bush Rue,Cneoridium dumosum,//legacy.calscape.org/qrcodes/Cneoridium-dumosum(192)
Woollyleaf Ceanothus,Ceanothus tomentosus,//legacy.calscape.org/qrcodes/Ceanothus-tomentosus(192)
Foothill Sedge,Carex tumulicola,//legacy.calscape.org/qrcodes/Carex-tumulicola(192)
Virgin's Bower,Clematis ligusticifolia,//legacy.calscape.org/qrcodes/Clematis-ligusticifolia(192)
Canyon Dudleya,Dudleya cymosa,//legacy.calscape.org/qrcodes/Dudleya-cymosa(192)
Red Willow,Salix laevigata,//legacy.calscape.org/qrcodes/Salix-laevigata(192)
